Card   1:  5 37 16  3 56 11 23 72  7  8 |  3 79 35 45 72 69 15 14 48 88 96 37 11 75 83 56 23  7 16 50 21 91 32 97 17
Card   2:  1 45 93 96 65 88 78 15 27 26 |  5 84 62 63 45 61  1 80 88 77 40 51 73 21 32 98 74 59 97  9 15 71 25 43 23
Card   3:  9 99 34 44 37 16 67 43 41 83 | 43 41  5 69 90 50 34 94 86 59 98 16 99 28 44 37 47 57  7 14 83 67 76  9 77
Card   4: 45 99 64 82 57  9 56 17 78  7 | 75 56 30 88 64  1 98 27  9 57  7  6 77 44 17 78 82 99 16 91 76 94 63 87 45
Card   5: 76 80 42 88 26 56 79 63  6 37 | 16  4 40 34 46 76 67 69  1 54  5 55 59 24 78 29 26  9 51 44 92 41 63 88 65
Card   6: 59 23 88 38 49 16 24 18 22 89 | 52 25 88 27 23 79 22 84 72 80 39 17 49 96 56 60 44 45 16 63 78 38 19  5 43
Card   7: 81  1 37  6 20 76  3 31 93 83 | 74 32 25 76 43 87 52 93 47 85 83 31 17 72  6 99  1 36 20 81  3 69 78 44 37
Card   8: 74 73 65 29 66 47 43 11 24 38 |  5  3  1 88 29 11 49 67 47 33 31 61 63 75 84 35 18 71 66 92 81 97  8  9 85
Card   9: 67 68  8 74 17 11 28 47 96  2 | 85  7 37 33 15 18 91 96  4 67 16 47 28 26 80 52 17 97 68  8 11 79  2 46 74
Card  10: 91 22 85 35 47 26 99 39 72 38 |  5  7 12 14 62 93 61 56 82  4  1 51 86 36 43 29 50 75 68 25 98 77 74 64 24
Card  11:  4 53 44 83 23 84 40 55 69 82 | 24 48 11 37 60 76 41 29 58 39 45 88 95 67 49 28 36 35 86 33 18 63 51 19 93
Card  12: 40 45 87 58 72 59 89 55 20 91 |  7 62  2 91 59 78  4 44 25 24 57 94 79 75 51 54 55 90 83 30 68 47  3 69 26
Card  13: 92 58 35 96 84 62 31 65 95  5 | 22 52 84 98 62 31 75  7 12 78 51 91 37 58 46 85 21 61 95 49 36  5 79 92  4
Card  14: 75 37 41 53 12 77 97  6 54 29 | 52 65 46 94 20  6 76 75 70 83 29 93 64  1 12 58 89 49 26 16 82 85 74 61 41
Card  15: 20 88 22 99 28 87 16 78 70 71 | 20 89 56 27 61 32 53 22 78  3 54 28 70 64 33 24 23 17  5 47 55 16 21 88  9
